date,close,high,low,open,close,volume
2018/7/2,2775.557,2845.6801,2756.815,2841.5795,2847.4181,137035034
2018/6/29,2847.4181,2848.3721,2782.3811,2789.8111,2786.8966,125671685
2018/6/28,2786.8966,2825.9872,2782.4464,2799.9039,2813.1775,118357907
2018/6/27,2813.1775,2854.2579,2798.7997,2842.3958,2844.5081,129420833
2018/6/26,2844.5081,2850.24,2803.7851,2829.9947,2859.3364,125918468
2018/6/25,2859.3364,2908.624,2857.8709,2903.4495,2889.7603,121917687
2018/6/22,2889.7603,2891.9685,2837.1444,2855.5849,2875.8099,126143129
2018/6/21,2875.8099,2940.5863,2872.6189,2912.0032,2915.7314,154378332
2018/6/20,2915.7314,2925.5611,2872.1629,2889.984,2907.8221,144301420
2018/6/19,2907.8221,2984.9706,2871.3548,2982.6504,3021.9008,230550067
2018/6/15,3021.9008,3048.7967,3008.7324,3037.4522,3044.1597,144532571
2018/6/14,3044.1597,3066.0469,3032.4062,3038.0704,3049.7965,115469487
2018/6/13,3049.7965,3071.4636,3044.1198,3071.4636,3079.8018,119607886
2018/6/12,3079.8018,3081.4473,3034.1012,3053.0279,3052.7831,113275096
2018/6/11,3052.7831,3063.6102,3037.9138,3057.3393,3067.1478,108563786
2018/6/8,3067.1478,3100.6848,3053.2879,3100.6038,3109.4988,134688220
2018/6/7,3109.4988,3128.7154,3105.5779,3121.1842,3115.1803,127784970
2018/6/6,3115.1803,3117.5251,3103.5329,3109.1746,3114.2055,120196135
2018/6/5,3114.2055,3114.7687,3080.0457,3088.0076,3091.1909,118735592
2018/6/4,3091.1909,3098.402,3076.9936,3083.4265,3075.1372,114593902
2018/6/1,3075.1372,3102.088,3059.7857,3084.7536,3095.4737,129872199
2018/5/31,3095.4737,3098.0764,3054.2685,3061.8291,3041.4434,140475532
2018/5/30,3041.4434,3085.397,3041.0002,3081.1418,3120.4605,155115126
2018/5/29,3120.4605,3143.2076,3112.1531,3129.621,3135.0821,135717800
2018/5/28,3135.0821,3149.6646,3115.9585,3136.8092,3141.3032,128755918
2018/5/25,3141.3032,3156.7261,3131.0675,3148.41,3154.6506,128610843
2018/5/24,3154.6506,3173.5309,3152.0692,3167.9391,3168.9642,124085800
2018/5/23,3168.9642,3205.437,3168.9642,3205.437,3214.3497,157807648
2018/5/22,3214.3497,3214.5888,3192.2277,3211.247,3213.8404,144292684
2018/5/21,3213.8404,3219.7398,3203.3362,3206.1756,3193.3034,164459413
2018/5/18,3193.3034,3193.4531,3144.776,3151.0818,3154.2825,136516918
2018/5/17,3154.2825,3172.7664,3148.6213,3170.0064,3169.5652,113995567
2018/5/16,3169.5652,3191.9481,3166.8113,3180.2259,3192.1183,130524968
2018/5/15,3192.1183,3192.8069,3164.5181,3180.4245,3174.032,124549051
2018/5/14,3174.032,3183.8159,3163.476,3167.0418,3163.2632,129327353
2018/5/11,3163.2632,3180.7564,3162.2121,3179.7967,3174.4127,130659749
2018/5/10,3174.4127,3176.1376,3155.5331,3169.0498,3159.1502,133000756
2018/5/9,3159.1502,3165.3733,3145.6574,3160.1382,3161.4976,122637268
2018/5/8,3161.4976,3169.7014,3134.0621,3135.2957,3136.6448,146927061
2018/5/7,3136.6448,3136.8363,3091.6579,3094.8989,3091.0334,138948186
2018/5/4,3091.0334,3104.0925,3086.7845,3093.1169,3100.8586,118711265
2018/5/3,3100.8586,3105.6598,3056.1573,3074.5165,3081.1773,139985620
2018/5/2,3081.1773,3097.6039,3064.763,3087.4086,3082.2316,134184566
2018/4/27,3082.2316,3088.0347,3049.9139,3082.4148,3075.0301,131225643
2018/4/26,3075.0301,3121.9334,3067.9286,3119.4962,3117.9739,133972736
