"date","time","open","high","low","close","volume"
06/18/2018,0930,187.87,187.96,187.2,187.42,430443
06/18/2018,0931,187.45,187.7,187.41,187.7,104841
06/18/2018,0932,187.71,187.83,187.49,187.74,105281
06/18/2018,0933,187.68,187.73,187.55,187.64,93190
06/18/2018,0934,187.66,187.8,187.5,187.64,92257
06/18/2018,0935,187.65,187.69,187.48,187.62,56573
06/18/2018,0936,187.62,187.7,187.54,187.69,64474
06/18/2018,0937,187.7,187.9,187.7,187.86,80549
06/18/2018,0938,187.86,187.89,187.74,187.82,68384
06/18/2018,0939,187.81,187.84,187.6,187.76,89729
06/18/2018,0940,187.76,187.76,187.58,187.71,38232
06/18/2018,0941,187.72,187.84,187.68,187.84,41815
06/18/2018,0942,187.85,187.9,187.8,187.87,55918
06/18/2018,0943,187.87,187.98,187.84,187.89,61187
06/18/2018,0944,187.9,187.94,187.8,187.91,51829
06/18/2018,0945,187.9,187.94,187.7,187.71,50520
06/18/2018,0946,187.71,187.83,187.7,187.8,58577
06/18/2018,0947,187.81,188.05,187.73,188.05,89728
06/18/2018,0948,188.05,188.14,188.01,188.06,100995
06/18/2018,0949,188.05,188.05,187.83,187.92,52290
06/18/2018,0950,187.92,188.05,187.92,187.99,46502
06/18/2018,0951,187.98,188.19,187.97,188.19,86808
06/18/2018,0952,188.17,188.24,188.05,188.05,88224
06/18/2018,0953,188.06,188.14,188,188,38918
06/18/2018,0954,188,188.14,187.98,188.1,35049
06/18/2018,0955,188.09,188.16,187.98,187.99,50888
06/18/2018,0956,188,188.22,187.99,188.18,66907
06/18/2018,0957,188.18,188.33,188.17,188.24,78451
06/18/2018,0958,188.23,188.26,188.15,188.18,38521
06/18/2018,0959,188.18,188.3,188.07,188.08,59990
06/18/2018,1000,188.06,188.08,187.78,187.8,82883
06/18/2018,1001,187.8,187.91,187.74,187.84,42321
06/18/2018,1002,187.85,187.9,187.72,187.89,73792
06/18/2018,1003,187.89,187.98,187.89,187.97,50526
06/18/2018,1004,187.98,188.21,187.98,188.21,63055
06/18/2018,1005,188.21,188.28,188.16,188.24,37410
06/18/2018,1006,188.25,188.31,188.15,188.19,47905
06/18/2018,1007,188.18,188.26,188.1,188.12,25774
06/18/2018,1008,188.12,188.17,188.05,188.1,34594
06/18/2018,1009,188.09,188.17,188.08,188.08,33139
06/18/2018,1010,188.08,188.09,187.77,187.82,75178
06/18/2018,1011,187.83,187.92,187.82,187.86,36600
06/18/2018,1012,187.85,188.16,187.85,188.11,56537
06/18/2018,1013,188.1,188.13,187.81,187.83,48939
06/18/2018,1014,187.84,187.86,187.77,187.83,62696
06/18/2018,1015,187.83,187.9,187.8,187.9,27718
06/18/2018,1016,187.93,187.98,187.8,187.96,36508
06/18/2018,1017,187.95,187.99,187.85,187.99,33624
06/18/2018,1018,187.98,188.03,187.93,188.03,29150
06/18/2018,1019,188.02,188.09,187.99,188.01,24510
06/18/2018,1020,188.03,188.16,187.92,188.14,69478
06/18/2018,1021,188.14,188.14,187.88,187.93,45356
06/18/2018,1022,187.93,188.03,187.85,187.97,36194
06/18/2018,1023,187.98,188.04,187.91,188,32318
06/18/2018,1024,188,188.06,187.95,188.01,26216
06/18/2018,1025,188.01,188.02,187.92,187.96,34143
06/18/2018,1026,187.98,187.98,187.87,187.9,27925
06/18/2018,1027,187.91,187.92,187.84,187.9,25790
06/18/2018,1028,187.9,187.92,187.78,187.82,48240
06/18/2018,1029,187.82,187.88,187.73,187.73,31667
06/18/2018,1030,187.74,187.9,187.74,187.89,39255
06/18/2018,1031,187.89,187.9,187.83,187.84,23946
06/18/2018,1032,187.85,187.92,187.8,187.91,47001
06/18/2018,1033,187.9,187.94,187.88,187.89,23104
06/18/2018,1034,187.89,187.95,187.84,187.91,23143
06/18/2018,1035,187.92,188.18,187.9,188.12,69806
06/18/2018,1036,188.13,188.19,188.12,188.15,32426
06/18/2018,1037,188.16,188.34,188.16,188.24,74762
06/18/2018,1038,188.28,188.32,188.2,188.31,40174
06/18/2018,1039,188.31,188.36,188.25,188.28,29916
06/18/2018,1040,188.29,188.4,188.29,188.39,36119
06/18/2018,1041,188.4,188.49,188.39,188.48,42967
06/18/2018,1042,188.47,188.51,188.41,188.51,38792
06/18/2018,1043,188.51,188.56,188.46,188.55,33177
06/18/2018,1044,188.55,188.63,188.45,188.61,58145
06/18/2018,1045,188.61,188.78,188.59,188.77,52100
06/18/2018,1046,188.76,188.83,188.69,188.8,83336
06/18/2018,1047,188.8,188.92,188.79,188.87,51097
06/18/2018,1048,188.87,189.02,188.84,189.01,75689
06/18/2018,1049,189.01,189.06,188.91,188.93,58039
06/18/2018,1050,188.93,188.98,188.85,188.96,34221
06/18/2018,1051,188.95,189.11,188.94,189.11,46308
06/18/2018,1052,189.1,189.22,189.08,189.16,59258
06/18/2018,1053,189.15,189.22,189.04,189.06,59187
06/18/2018,1054,189.06,189.13,188.99,189.1,29097
06/18/2018,1055,189.1,189.14,189.09,189.14,26423
06/18/2018,1056,189.15,189.16,188.98,189.02,39555
06/18/2018,1057,189.02,189.04,188.93,188.94,36854
06/18/2018,1058,188.95,188.98,188.87,188.93,59679
06/18/2018,1059,188.93,188.97,188.91,188.91,24127
06/18/2018,1100,188.9,189.05,188.88,189.04,32939
06/18/2018,1101,189.06,189.16,189.03,189.16,20551
06/18/2018,1102,189.16,189.22,189.1,189.1,41486
06/18/2018,1103,189.1,189.1,189.04,189.06,21927
06/18/2018,1104,189.06,189.08,189.04,189.07,16032
06/18/2018,1105,189.07,189.11,189.06,189.07,29037
06/18/2018,1106,189.07,189.08,189.02,189.03,39514
06/18/2018,1107,189.04,189.08,188.96,188.98,29004
06/18/2018,1108,188.97,188.97,188.87,188.91,28564
06/18/2018,1109,188.9,189.08,188.89,189.03,39413
06/18/2018,1110,189.02,189.18,189.02,189.14,31384
06/18/2018,1111,189.13,189.17,189.05,189.12,29984
06/18/2018,1112,189.13,189.14,189.08,189.11,19610
06/18/2018,1113,189.1,189.11,189.06,189.06,15819
06/18/2018,1114,189.06,189.09,189.02,189.03,33721
06/18/2018,1115,189.03,189.13,188.98,189.11,36732
06/18/2018,1116,189.13,189.14,189.02,189.02,22261
06/18/2018,1117,189.02,189.04,188.97,189.03,28212
06/18/2018,1118,189.02,189.1,189.01,189.1,24618
