date,delay,distance,origin,destination
02221605,3,358,BUR,SMF
01022100,-5,239,HOU,DAL
03210808,6,288,BWI,ALB
02042155,-15,313,MCI,OKC
01031304,23,935,PHX,TUL
01022052,26,1363,MCI,LAX
01181550,2,223,BUR,LAS
03041110,-3,321,MSY,BHM
01041210,-30,852,BDL,BNA
01241612,0,479,PDX,SMF
02141813,28,405,MDW,MCI
03212145,-10,223,BUR,LAS
02220830,-5,453,HOU,TUL
03281220,-2,646,OAK,PHX
03060605,-7,569,PDX,SJC
03151759,36,283,BDL,BWI
02041310,0,180,OAK,RNO
02031625,-9,296,BUR,SJC
03231610,-19,1363,MCI,LAX
02221938,18,276,HOU,HRL
03281355,-2,491,MCI,BNA
02141407,13,251,STL,MDW
02252025,45,296,LIT,DAL
02181325,2,405,MCI,MDW
02211140,5,251,STL,MDW
02261810,0,714,LAX,ELP
03300755,-3,358,BUR,SMF
01282020,-4,417,SAN,SJC
01181812,71,325,BUR,OAK
02252107,14,248,DAL,SAT
03241238,8,239,HOU,DAL
02242143,35,328,BWI,PVD
01231415,0,543,PDX,OAK
01230630,5,325,PHX,ONT
03241230,11,407,LAS,OAK
01201400,-4,448,BNA,CLE
03221515,16,337,LAX,OAK
03060640,8,188,SJC,RNO
03182149,13,325,ONT,PHX
03180930,10,1140,LAS,MCI
01261250,27,197,ONT,LAS
02261255,8,628,ABQ,SAN
02152208,65,197,TPA,FLL
02050640,19,288,ALB,BWI
02251315,0,453,TUL,HOU
03161941,9,1090,LAS,AUS
01162309,75,621,SJC,PHX
01281620,3,308,LAX,SJC
01020835,-26,1099,OMA,LAS
01011200,-7,397,SMF,LAS
01100615,5,399,SEA,BOI
03062010,-3,324,AMA,DAL
02261535,-10,314,BWI,CLE
01241217,22,325,BUR,OAK
03062025,-3,223,LAS,BUR
03030805,-2,358,SMF,BUR
03161733,37,417,SAN,SJC
01180945,-5,293,DAL,LBB
03101745,-3,321,MSY,BHM
01242200,-2,303,HOU,MSY
03071110,-13,1295,LAS,LIT
03131522,-3,254,STL,SDF
01181255,-2,1093,ISP,FLL
02072027,6,308,SJC,LAX
01191122,6,325,OAK,BUR
02230838,40,1407,BWI,SAT
02071928,3,325,ONT,PHX
02251805,28,671,SEA,OAK
03012010,5,714,LAX,ELP
01131620,-2,187,CRP,HOU
02060940,-8,248,SAT,DAL
01191448,8,325,OAK,BUR
01291900,35,239,HOU,DAL
03141330,-17,1107,SEA,PHX
03162123,35,480,SAN,SMF
02040900,-8,255,BWI,RDU
01201835,-7,417,SJC,SAN
01031310,44,1262,PHX,STL
01211308,16,308,SJC,LAX
01221330,-11,1107,SEA,PHX
01161440,-10,1073,ALB,MCO
03291815,-1,325,OAK,BUR
02161016,0,507,SLC,PHX
02192010,0,453,TUL,HOU
01261514,46,580,ABQ,DAL
02011954,0,580,DAL,ABQ
02091350,10,197,TPA,FLL
01191527,10,342,SNA,SJC
02210850,-5,236,LAX,LAS
03031612,17,448,BNA,CLE
01211200,-13,361,ONT,OAK
02251920,-2,319,DAL,MAF
01131030,-3,223,TUL,MCI
01090730,0,673,FLL,MSY
02251405,48,308,LAX,SJC
03221745,-5,255,RDU,BWI
03181224,22,407,LAS,OAK
01191230,-15,1164,SAN,AUS
03301415,-2,1048,TPA,MCI
02270940,-2,325,PHX,ONT
03150755,-1,321,BHM,MSY
01152050,-2,443,BNA,RDU
03071925,0,325,ONT,PHX
03271010,-2,192,HOU,SAT
03171020,-5,1552,ABQ,MCO
02171823,-17,1506,PHX,SDF
03211221,41,328,PVD,BWI
03150800,5,1037,PHX,OMA
01291100,-3,451,LAX,TUS
03100713,-2,443,RDU,BNA
02131534,29,308,LAX,SJC
01130945,-18,1301,PHX,MSY
02011805,-40,1162,AUS,RDU
01262050,34,1044,MCI,PHX
02060735,-8,181,OKC,DAL
01292122,10,371,SNA,OAK
01071020,-7,1069,SAT,LAS
03271353,83,255,BWI,RDU
02211127,10,248,SAT,DAL
01071640,-1,632,RDU,MDW
01280940,-9,1301,MSY,PHX
02161950,62,321,BHM,MSY
03241855,4,507,SLC,PHX
